day,IS_MEMBER,TYPE,COUNT,AVG_DURATION,MIN_DURATION,MAX_DURATION,STDDEV_DURATION
2020-10-01,false,docked_bike,1783,24.410544027,1,1255,55.621615863821
2020-10-01,false,electric_bike,1464,15.838114754,1,479,19.922332685086019
2020-10-01,true,docked_bike,5140,12.511867704,1,827,17.290009013496146
2020-10-01,true,electric_bike,2590,11.645559846,1,479,14.848665474897556
2020-10-02,false,docked_bike,2900,31.085172414,1,1259,68.55165674301135
2020-10-02,false,electric_bike,2380,18.938655462,1,228,19.453964661460677
2020-10-02,true,docked_bike,5687,13.737471426,1,1207,23.310297605885722
2020-10-02,true,electric_bike,3310,12.180362538,1,140,11.579142144350762
2020-10-03,false,docked_bike,4220,32.10971564,1,1221,51.528338960545618
2020-10-03,false,electric_bike,2651,20.357223689,1,219,19.330229053207638
2020-10-03,true,docked_bike,4909,14.906498268,1,1000,25.744818862232886
2020-10-03,true,electric_bike,2574,13.304972805,1,184,13.121238445670203
2020-10-04,false,docked_bike,3635,33.664924347,1,1432,60.982722151936628
2020-10-04,false,electric_bike,2155,20.428770302,1,209,21.635600723655834
2020-10-04,true,docked_bike,4625,15.368216216,1,786,20.759700710146863
2020-10-04,true,electric_bike,2197,13.467455621,1,214,13.493924239703444
2020-10-05,false,docked_bike,2146,27.762814539,1,1295,47.067104603827062
2020-10-05,false,electric_bike,1699,18.494408476,1,171,18.739418389525952
2020-10-05,true,docked_bike,5723,13.402586056,1,873,19.999206876316361
2020-10-05,true,electric_bike,2692,11.949851412,1,192,11.624579270543464
2020-10-06,false,docked_bike,2989,29.271997324,1,1382,55.407387083171521
2020-10-06,false,electric_bike,2311,20.295975768,1,264,21.481171780270785
2020-10-06,true,docked_bike,7230,14.273582296,1,1242,23.665847065323888
2020-10-06,true,electric_bike,3221,12.613474076,1,208,12.007497595984255
2020-10-07,false,docked_bike,3674,29.967610234,1,1335,57.267080841198478
2020-10-07,false,electric_bike,2425,19.224742268,1,185,19.049241838569216
2020-10-07,true,docked_bike,7777,14.46701813,1,1204,23.323051706884467
2020-10-07,true,electric_bike,3261,13.219257896,1,287,12.804143842572156
2020-10-08,false,docked_bike,3009,30.325024925,1,1342,63.886411865210768
2020-10-08,false,electric_bike,2713,18.558053815,1,479,20.863916815619866
2020-10-08,true,docked_bike,6859,13.868348156,1,1046,22.083619922918611
2020-10-08,true,electric_bike,3548,12.375986471,1,203,11.950532600615503
2020-10-09,false,docked_bike,5428,34.755342668,1,1426,64.799815165757451
2020-10-09,false,electric_bike,3819,23.356114166,1,480,23.98646561693516
2020-10-09,true,docked_bike,7372,15.596174715,1,1091,30.240200477547582
2020-10-09,true,electric_bike,3820,13.915706806,1,479,16.887500083061397
2020-10-10,false,docked_bike,8936,38.915062668,1,1283,57.711601748166331
2020-10-10,false,electric_bike,4652,27.45227859,1,336,27.08347659755416
2020-10-10,true,docked_bike,7301,16.348171483,1,1198,21.877154964476549
2020-10-10,true,electric_bike,3380,15.25739645,1,479,16.194802156561373
2020-10-11,false,docked_bike,6709,40.265166195,1,1259,58.939405498744982
2020-10-11,false,electric_bike,3557,26.145909474,1,222,26.905980018364367
2020-10-11,true,docked_bike,6213,16.225333977,1,493,16.488882131121226
2020-10-11,true,electric_bike,2831,14.752031084,1,479,16.789236491407731
2020-10-12,false,docked_bike,1528,28.201570681,1,1327,60.917869760618728
2020-10-12,false,electric_bike,1454,17.334938102,1,199,18.173508183250629
2020-10-12,true,docked_bike,4247,12.693195197,1,965,18.1576257288129
2020-10-12,true,electric_bike,2308,11.416377816,1,261,12.421030638843341
2020-10-13,false,docked_bike,2808,30.582621083,1,1374,64.841695327612982
2020-10-13,false,electric_bike,2385,19.806708595,1,187,20.630378901297476
2020-10-13,true,docked_bike,6797,14.016477858,1,1211,22.305356588515117
2020-10-13,true,electric_bike,3283,12.460554371,1,160,11.401696035763353
