day,IS_MEMBER,COUNT,AVG_DURATION,MIN_DURATION,MAX_DURATION,STDDEV_DURATION,year_month,dayofweek,weeknum
2020-11-04,false,3730,26.858176944,1,1335,54.919380288391054,2020-11,3,45
2020-11-04,true,8057,13.45264987,1,655,16.635272933243993,2020-11,3,45
2020-11-05,false,3953,24.755122692,1,1405,42.340365392313757,2020-11,4,45
2020-11-05,true,8216,12.892648491,1,650,13.375563925215706,2020-11,4,45
2020-11-06,false,6234,30.996631376,1,1375,65.300817854920311,2020-11,5,45
2020-11-06,true,9541,13.884917724,1,373,14.162448742067964,2020-11,5,45
2020-11-07,false,12560,35.607484076,1,1435,53.10236396468882,2020-11,6,45
2020-11-07,true,10775,17.027935035,1,1247,19.470490710224524,2020-11,6,45
2020-11-08,false,9249,35.906152016,1,1432,48.2508542816284,2020-11,7,45
2020-11-08,true,8834,16.849898121,1,326,16.02121416278279,2020-11,7,45
2020-11-09,false,4936,30.369732577,1,1279,43.898877827147018,2020-11,1,46
2020-11-09,true,8900,13.423820225,1,377,12.342178299682921,2020-11,1,46
2020-11-10,false,2545,22.486051081,1,1112,41.440115881219057,2020-11,2,46
2020-11-10,true,6371,11.987757024,1,1224,19.301956853763173,2020-11,2,46
2020-11-11,false,2181,19.933516735,1,1051,37.786383822093789,2020-11,3,46
2020-11-11,true,6431,11.478619188,1,262,11.203193963760635,2020-11,3,46
2020-11-12,false,2367,19.548795944,1,1086,32.169190678757417,2020-11,4,46
2020-11-12,true,6583,11.565395716,1,546,12.562972758970464,2020-11,4,46
2020-11-13,false,2216,19.380866426,1,283,22.255881354037047,2020-11,5,46
2020-11-13,true,5787,11.583203733,1,1112,18.638247118289847,2020-11,5,46
2020-11-14,false,2503,25.143827407,1,1385,66.002494602105273,2020-11,6,46
2020-11-14,true,4517,12.251272969,1,662,15.029436139486215,2020-11,6,46
2020-11-15,false,970,21.281443299,1,1060,52.823692025018488,2020-11,7,46
2020-11-15,true,2425,10.432164948,1,139,10.496795605965211,2020-11,7,46
2020-11-16,false,1623,19.076401725,1,1021,34.713709190796131,2020-11,1,47
2020-11-16,true,5413,11.490301127,1,184,10.748358076088829,2020-11,1,47
2020-11-17,false,1390,17.85971223,1,295,23.8917168133914,2020-11,2,47
2020-11-17,true,5095,11.710500491,1,844,18.819383177049719,2020-11,2,47
2020-11-18,false,1674,18.590203106,1,357,24.31561292376545,2020-11,3,47
2020-11-18,true,5546,11.791922106,1,1416,21.840502536518361,2020-11,3,47
2020-11-19,false,2667,23.003374578,1,789,34.206572503109648,2020-11,4,47
2020-11-19,true,6418,12.46759115,1,939,16.625097131182397,2020-11,4,47
2020-11-20,false,3002,24.579946702,1,1157,43.089248257388981,2020-11,5,47
2020-11-20,true,6720,13.368303571,1,935,17.197796477158029,2020-11,5,47
2020-11-21,false,2690,25.93197026,1,1153,55.7605360392944,2020-11,6,47
2020-11-21,true,5075,13.123152709,1,543,14.999730897794016,2020-11,6,47
2020-11-22,false,1596,25.513784461,1,863,35.782084615239924,2020-11,7,47
2020-11-22,true,3322,14.041842264,1,1417,29.536827816286063,2020-11,7,47
2020-11-23,false,1538,23.007802341,1,1114,37.863263556644064,2020-11,1,48
2020-11-23,true,4762,11.898572029,1,232,11.891307501573358,2020-11,1,48
2020-11-24,false,518,21.075289575,1,1345,63.41707965297293,2020-11,2,48
2020-11-24,true,2226,10.763252471,1,208,11.161564336691276,2020-11,2,48
2020-11-25,false,675,22.214814815,1,901,48.877531789714951,2020-11,3,48
2020-11-25,true,2530,13.345849802,1,1239,43.338343397822207,2020-11,3,48
2020-11-26,false,1182,29.72927242,1,1058,44.8162951462762,2020-11,4,48
2020-11-26,true,2348,13.994889267,1,274,13.917834126021869,2020-11,4,48
2020-11-27,false,1758,28.462457338,1,1182,49.896519893557965,2020-11,5,48
2020-11-27,true,3490,14.119770774,1,243,13.990212868570433,2020-11,5,48
