Status,Temperature,Rain,Snow,Wind,Temperature2,Rain2,Snow2,Wind2
Casual,0.81,0.0,-0.2,-0.2,0.07,-0.07,0.16,-0.05
Member,0.91,-0.01,-0.29,-0.22,-0.08,-0.07,0.29,-0.08
