YEAR_MONTH,QUARTER,DAYOFWEEK,day,IS_MEMBER,AVG_DURATION,COUNT
2021-1,1,4,2021-01-27,false,16.716101695,236
2021-1,1,5,2021-01-28,false,23.753709199,337
2021-1,1,6,2021-01-29,false,17.858439201,551
2021-1,1,7,2021-01-30,false,19.197402597,385
2021-1,1,1,2021-01-31,false,48.504761905,105
2021-2,1,2,2021-02-01,false,27.470355731,253
2021-2,1,3,2021-02-02,false,29.374558304,283
2021-2,1,4,2021-02-03,false,18.623595506,356
2021-2,1,5,2021-02-04,false,16.086294416,197
2021-2,1,6,2021-02-05,false,283.706293706,143
2021-2,1,7,2021-02-06,false,431.211864407,118
2021-2,1,1,2021-02-07,false,63.696202532,79
2021-2,1,2,2021-02-08,false,60.390243902,82
2021-2,1,3,2021-02-09,false,42.438848921,139
2021-2,1,4,2021-02-10,false,25.370629371,143
2021-2,1,5,2021-02-11,false,18.857954545,176
2021-2,1,6,2021-02-12,false,40.320689655,290
2021-2,1,7,2021-02-13,false,46.316176471,136
2021-2,1,1,2021-02-14,false,80.625,96
2021-2,1,2,2021-02-15,false,50.545454545,33
2021-2,1,3,2021-02-16,false,314.903846154,52
2021-2,1,4,2021-02-17,false,101.325301205,83
2021-2,1,5,2021-02-18,false,28.809090909,110
2021-2,1,6,2021-02-19,false,115.560810811,148
2021-2,1,7,2021-02-20,false,128.15,200
2021-2,1,1,2021-02-21,false,53.971751412,177
2021-2,1,2,2021-02-22,false,38.256157635,203
2021-2,1,3,2021-02-23,false,36.140077821,514
2021-2,1,4,2021-02-24,false,36.349904398,523
2021-2,1,5,2021-02-25,false,21.243636364,550
2021-2,1,6,2021-02-26,false,27.788395904,879
2021-2,1,7,2021-02-27,false,43.195506372,2982
2021-2,1,1,2021-02-28,false,37.237487733,1019
2021-3,1,2,2021-03-01,false,30.709342561,578
2021-3,1,3,2021-03-02,false,44.967213115,793
2021-3,1,4,2021-03-03,false,27.822237474,1457
2021-3,1,5,2021-03-04,false,39.230337079,712
2021-3,1,6,2021-03-05,false,29.253443526,1452
2021-3,1,7,2021-03-06,false,58.249056604,2650
2021-3,1,1,2021-03-07,false,37.786214953,2568
2021-3,1,2,2021-03-08,false,50.547572816,3090
2021-3,1,3,2021-03-09,false,36.674319274,3746
2021-3,1,4,2021-03-10,false,30.663602941,2176
2021-3,1,5,2021-03-11,false,26.946684588,2232
2021-3,1,6,2021-03-12,false,26.821867882,2195
2021-3,1,7,2021-03-13,false,40.777276966,6434
2021-3,1,1,2021-03-14,false,37.253222836,2172
2021-3,1,2,2021-03-15,false,19.509749304,359
2021-3,1,3,2021-03-16,false,23.150110375,906
2021-3,1,4,2021-03-17,false,29.04,800
2021-3,1,5,2021-03-18,false,35.748898678,908
2021-3,1,6,2021-03-19,false,34.701793722,2230
2021-3,1,7,2021-03-20,false,40.524277812,6508
2021-3,1,1,2021-03-21,false,45.632303156,9157
2021-3,1,2,2021-03-22,false,45.082897033,4584
