DAY,IS_MEMBER,TYPE,AVG_DURATION,COUNT
2020-10-01,false,docked_bike,26.887458007,1786
2020-10-01,true,docked_bike,13.090042785,5142
2020-10-01,false,electric_bike,15.838114754,1464
2020-10-01,true,electric_bike,11.645559846,2590
2020-10-02,false,docked_bike,47.56621947,2907
2020-10-02,true,docked_bike,13.737471426,5687
2020-10-02,false,electric_bike,18.938655462,2380
2020-10-02,true,electric_bike,12.180362538,3310
2020-10-03,false,docked_bike,37.006392045,4224
2020-10-03,true,docked_bike,15.510893912,4911
2020-10-03,false,electric_bike,20.357223689,2651
2020-10-03,true,electric_bike,13.304972805,2574
2020-10-04,false,docked_bike,36.78021978,3640
2020-10-04,true,docked_bike,15.688932123,4626
2020-10-04,false,electric_bike,20.428770302,2155
2020-10-04,true,electric_bike,13.467455621,2197
2020-10-05,false,docked_bike,34.731503025,2149
2020-10-05,true,docked_bike,13.402586056,5723
2020-10-05,false,electric_bike,18.494408476,1699
2020-10-05,true,electric_bike,11.949851412,2692
2020-10-06,false,docked_bike,42.82486631,2992
2020-10-06,true,docked_bike,14.273582296,7230
2020-10-06,false,electric_bike,20.295975768,2311
2020-10-06,true,electric_bike,12.613474076,3221
2020-10-07,false,docked_bike,37.397665581,3684
2020-10-07,true,docked_bike,14.46701813,7777
2020-10-07,false,electric_bike,19.224742268,2425
2020-10-07,true,electric_bike,13.219257896,3261
2020-10-08,false,docked_bike,32.834771068,3014
2020-10-08,true,docked_bike,14.08483965,6860
2020-10-08,false,electric_bike,18.558053815,2713
2020-10-08,true,electric_bike,12.375986471,3548
2020-10-09,false,docked_bike,37.19374425,5435
2020-10-09,true,docked_bike,17.222508475,7375
2020-10-09,false,electric_bike,23.356114166,3819
2020-10-09,true,electric_bike,13.915706806,3820
2020-10-10,false,docked_bike,45.927916853,8948
2020-10-10,true,docked_bike,16.547247329,7302
2020-10-10,false,electric_bike,27.45227859,4652
2020-10-10,true,electric_bike,15.25739645,3380
2020-10-11,false,docked_bike,43.030956988,6719
2020-10-11,true,docked_bike,16.463952366,6214
2020-10-11,false,electric_bike,26.145909474,3557
2020-10-11,true,electric_bike,14.752031084,2831
2020-10-12,false,docked_bike,34.149934811,1534
2020-10-12,true,docked_bike,12.693195197,4247
2020-10-12,false,electric_bike,17.334938102,1454
2020-10-12,true,electric_bike,11.416377816,2308
2020-10-13,false,docked_bike,32.766275347,2811
2020-10-13,true,docked_bike,14.229773463,6798
2020-10-13,false,electric_bike,19.806708595,2385
2020-10-13,true,electric_bike,12.460554371,3283
2020-10-14,false,docked_bike,32.032398981,2747
2020-10-14,true,docked_bike,13.946385542,6640
2020-10-14,false,electric_bike,18.940563991,2305
2020-10-14,true,electric_bike,12.960538117,3345
2020-10-15,false,docked_bike,27.27756654,1841
2020-10-15,true,docked_bike,13.106825487,5289
2020-10-15,false,electric_bike,15.818226845,2019
2020-10-15,true,electric_bike,11.450850662,3174
2020-10-16,false,docked_bike,61.258364312,2152
2020-10-16,true,docked_bike,26.154458951,4519
2020-10-16,false,electric_bike,18.636363636,1980
2020-10-16,true,electric_bike,12.092198582,2961
