year_month,dayofweek,hour,IS_MEMBER,COUNT,AVG_DURATION
2021-2,4,3,false,8,11.875
2021-2,4,3,true,11,11.636363636
2021-2,4,4,false,3,18.333333333
2021-2,4,4,true,21,10.380952381
2021-2,4,5,false,13,7.153846154
2021-2,4,5,true,121,24
2021-2,4,6,false,14,12.357142857
2021-2,4,6,true,249,15.891566265
2021-2,4,7,false,35,14.342857143
2021-2,4,7,true,460,19.643478261
2021-2,4,8,false,36,12.472222222
2021-2,4,8,true,442,19.343891403
2021-2,4,9,false,32,25
2021-2,4,9,true,288,14.038194444
2021-2,4,10,false,39,26.641025641
2021-2,4,10,true,231,13.484848485
2021-2,4,11,false,51,35.333333333
2021-2,4,11,true,299,12.662207358
2021-2,4,12,false,71,18.718309859
2021-2,4,12,true,366,17.767759563
2021-2,4,13,false,84,23.785714286
2021-2,4,13,true,339,12.563421829
2021-2,4,14,false,65,18.753846154
2021-2,4,14,true,338,18.068047337
2021-2,4,15,false,67,23.537313433
2021-2,4,15,true,356,13.735955056
2021-2,4,16,false,92,20.173913043
2021-2,4,16,true,469,13.756929638
2021-2,4,17,false,139,21.438848921
2021-2,4,17,true,625,14.272
2021-2,4,18,false,91,14.868131868
2021-2,4,18,true,525,14.657142857
2021-2,4,19,false,58,32.982758621
2021-2,4,19,true,300,11.593333333
2021-2,4,20,false,35,17.714285714
2021-2,4,20,true,175,13.582857143
2021-2,4,21,false,21,20.80952381
2021-2,4,21,true,103,11.563106796
2021-2,4,22,false,28,15.714285714
2021-2,4,22,true,98,11.734693878
2021-2,4,23,false,24,13.25
2021-2,4,23,true,78,11.076923077
2021-2,5,0,false,12,10.833333333
2021-2,5,0,true,22,9.045454545
2021-2,5,1,false,5,13.4
2021-2,5,1,true,9,11
2021-2,5,2,false,4,78
2021-2,5,2,true,7,6.142857143
2021-2,5,3,false,6,14
2021-2,5,3,true,9,7.666666667
2021-2,5,4,false,5,15.8
2021-2,5,4,true,18,43.333333333
2021-2,5,5,false,8,8.375
2021-2,5,5,true,108,11.916666667
2021-2,5,6,false,18,14.666666667
2021-2,5,6,true,214,21.257009346
2021-2,5,7,false,35,12.114285714
2021-2,5,7,true,366,17.81147541
2021-2,5,8,false,32,71.375
2021-2,5,8,true,403,13.215880893
2021-2,5,9,false,43,60.302325581
2021-2,5,9,true,271,18.132841328
2021-2,5,10,false,66,27.196969697
2021-2,5,10,true,276,26.717391304
2021-2,5,11,false,76,49.894736842
2021-2,5,11,true,322,12.838509317
2021-2,5,12,false,91,148.505494505
2021-2,5,12,true,404,14.403465347
2021-2,5,13,false,91,91.087912088
2021-2,5,13,true,438,12.828767123
2021-2,5,14,false,101,320.722772277
2021-2,5,14,true,427,14.400468384
2021-2,5,15,false,118,21.593220339
2021-2,5,15,true,514,15.431906615
2021-2,5,16,false,160,22.5625
2021-2,5,16,true,565,19.25840708
2021-2,5,17,false,162,41.166666667
2021-2,5,17,true,722,19.739612188
2021-2,5,18,false,143,40.342657343
2021-2,5,18,true,534,18.25093633
2021-2,5,19,false,77,26.246753247
2021-2,5,19,true,345,20.11884058
2021-2,5,20,false,55,46.090909091
2021-2,5,20,true,169,17.544378698
2021-2,5,21,false,52,23.326923077
2021-2,5,21,true,95,12.368421053
2021-2,5,22,false,35,17.228571429
2021-2,5,22,true,95,10.621052632
2021-2,5,23,false,65,42.107692308
2021-2,5,23,true,93,23.64516129
2021-2,6,0,false,25,70.56
2021-2,6,0,true,56,11.857142857
2021-2,6,1,false,14,16.357142857
2021-2,6,1,true,33,10.303030303
2021-2,6,2,false,13,15.384615385
2021-2,6,2,true,23,8.652173913
2021-2,6,3,false,4,12.5
2021-2,6,3,true,8,20.5
2021-2,6,4,false,7,11.142857143
2021-2,6,4,true,12,13.583333333
2021-2,6,5,false,9,12.888888889
2021-2,6,5,true,24,8.458333333
2021-2,6,6,false,3,13.666666667
2021-2,6,6,true,79,22.873417722
2021-2,6,7,false,21,28.333333333
2021-2,6,7,true,114,27.114035088
2021-2,6,8,false,28,19.571428571
2021-2,6,8,true,178,12.084269663
2021-2,6,9,false,72,26.791666667
2021-2,6,9,true,268,19.220149254
2021-2,6,10,false,118,43.076271186
2021-2,6,10,true,420,14.880952381
2021-2,6,11,false,222,35.720720721
2021-2,6,11,true,508,18.854330709
2021-2,6,12,false,385,34.272727273
2021-2,6,12,true,594,21.525252525
2021-2,6,13,false,376,41.02393617
2021-2,6,13,true,665,16.842105263
2021-2,6,14,false,457,59.256017505
2021-2,6,14,true,676,20.00443787
2021-2,6,15,false,442,129.153846154
2021-2,6,15,true,633,21.320695103
2021-2,6,16,false,415,58.53253012
2021-2,6,16,true,575,21.013913043
2021-2,6,17,false,277,33.238267148
2021-2,6,17,true,474,22.135021097
2021-2,6,18,false,167,36
2021-2,6,18,true,327,15.519877676
2021-2,6,19,false,104,54.75
2021-2,6,19,true,244,20.102459016
2021-2,6,20,false,75,153.253333333
2021-2,6,20,true,151,19.198675497
2021-2,6,21,false,55,226.690909091
2021-2,6,21,true,95,13.105263158
2021-2,6,22,false,43,56.186046512
