station_id,dayofweek,hour,is_member,starts,ends,diff,lat,lng
TA1306000002,1,9,false,4,1,-3,41.86238,-87.65108
TA1307000124,1,9,false,17,26,9,41.86411,-87.62372
168,1,9,false,1,3,2,41.86415,-87.62372
TA1309000001,1,9,false,5,5,0,41.86488,-87.64708
13165,1,9,false,1,2,1,41.86505,-87.65697
13029,1,9,false,3,22,19,41.86531,-87.6179
341,1,9,false,1,1,0,41.86608,-87.60733
13431,1,9,false,15,7,-8,41.8661,-87.60728
KA1504000101,1,9,false,1,2,1,41.86651,-87.68466
WL-008,1,9,false,11,4,-7,41.86712,-87.64108
TA1305000002,1,9,false,29,29,0,41.86721,-87.62597
3,1,9,false,4,2,-2,41.86723,-87.61536
15544,1,9,false,28,116,88,41.86723,-87.61536
TA1305000017,1,9,false,6,3,-3,41.86734,-87.64863
KA1706005007,1,9,false,5,7,2,41.86749,-87.63219
SL-005,1,9,false,45,38,-7,41.8679,-87.62304
255,1,9,false,5,2,-3,41.86791,-87.62304
644,1,9,false,7,1,-6,41.86859,-87.68625
13139,1,9,false,1,6,5,41.86893,-87.65913
13285,1,9,false,1,10,9,41.86928,-87.67372
13160,1,9,false,5,5,0,41.86947,-87.65548
15550,1,9,false,5,8,3,41.87024,-87.63947
TA1309000010,1,9,false,18,14,-4,41.87074,-87.62574
SL-009,1,9,false,1,1,0,41.87081,-87.63121
342,1,9,false,2,1,-1,41.87127,-87.6737
TA1309000064,1,9,false,11,4,-7,41.87127,-87.67369
15542,1,9,false,1,1,0,41.87146,-87.64095
261,1,9,false,2,2,0,41.87151,-87.6699
TA1307000130,1,9,false,1,5,4,41.87178,-87.65103
108,1,9,false,1,1,0,41.87183,-87.64664
TA1307000121,1,9,false,3,5,2,41.87184,-87.64664
41,1,9,false,5,3,-2,41.87209,-87.62957
SL-008,1,9,false,17,12,-5,41.87209,-87.62956
13332,1,9,false,13,11,-2,41.87219,-87.6615
394,1,9,false,2,1,-1,41.87226,-87.63484
175,1,9,false,3,1,-2,41.87255,-87.63359
SL-011,1,9,false,13,21,8,41.87256,-87.63356
623,1,9,false,90,36,-54,41.87272,-87.62399
KA1504000104,1,9,false,4,12,8,41.87296,-87.66912
383,1,9,false,3,3,0,41.87297,-87.66912
5,1,9,false,2,1,-1,41.87403,-87.6277
SL-007,1,9,false,14,8,-6,41.87404,-87.6277
13326,1,9,false,4,5,1,41.87425,-87.63958
321,1,9,false,6,4,-2,41.87427,-87.63257
356,1,9,false,2,1,-1,41.87464,-87.70168
TA1306000025,1,9,false,7,8,1,41.87464,-87.65703
